iter          CT     h
69  0.1683466E-02    1.000000000000000000e+00
70  0.1696886E-02    1.000000000000000000e+00
71  0.1684054E-02    1.000000000000000000e+00
72  0.1630805E-02    1.000000000000000000e+00
73  0.1587748E-02    1.000000000000000000e+00
74  0.1553903E-02    1.000000000000000000e+00
75  0.1539898E-02    1.000000000000000000e+00
76  0.1532255E-02    1.000000000000000000e+00
77  0.1515326E-02    1.000000000000000000e+00
78  0.1504388E-02    1.000000000000000000e+00
79  0.1485988E-02    1.000000000000000000e+00
80  0.1457798E-02    1.000000000000000000e+00
81  0.1461741E-02    1.000000000000000000e+00
82  0.1465521E-02    1.000000000000000000e+00
83  0.1451592E-02    1.000000000000000000e+00
84  0.1454468E-02    1.000000000000000000e+00
85  0.1393434E-02    1.000000000000000000e+00
86  0.1391335E-02    1.000000000000000000e+00
87  0.1375880E-02    1.000000000000000000e+00
88  0.1370721E-02    1.000000000000000000e+00
89  0.1364290E-02    1.000000000000000000e+00
90  0.1350488E-02    1.000000000000000000e+00
91  0.1347236E-02    1.000000000000000000e+00
92  0.1340094E-02    1.000000000000000000e+00
93  0.1327061E-02    1.000000000000000000e+00
94  0.1335064E-02    1.000000000000000000e+00
95  0.1324200E-02    1.000000000000000000e+00
96  0.1309736E-02    1.000000000000000000e+00
97  0.1281230E-02    1.000000000000000000e+00
98  0.1270169E-02    1.000000000000000000e+00
99  0.1261284E-02    1.000000000000000000e+00
100  0.1240600E-02   1.000000000000000000e+00
101  0.1255076E-02   1.000000000000000000e+00
102  0.1242775E-02   1.000000000000000000e+00
103  0.1263111E-02   1.000000000000000000e+00
104  0.1234978E-02   1.000000000000000000e+00
105  0.1237848E-02   1.000000000000000000e+00
106  0.1241106E-02   1.000000000000000000e+00
107  0.1241071E-02   1.000000000000000000e+00
108  0.1240161E-02   1.000000000000000000e+00
109  0.1230015E-02   1.000000000000000000e+00
110  0.1211155E-02   1.000000000000000000e+00
111  0.1204065E-02   1.000000000000000000e+00
112  0.1203340E-02   1.000000000000000000e+00
113  0.1211569E-02   1.000000000000000000e+00
114  0.1209652E-02   1.000000000000000000e+00
115  0.1208920E-02   1.000000000000000000e+00
116  0.1195680E-02   1.000000000000000000e+00
117  0.1220166E-02   1.000000000000000000e+00
118  0.1218206E-02   1.000000000000000000e+00
119  0.1218130E-02   1.000000000000000000e+00
120  0.1204030E-02   1.000000000000000000e+00
121  0.1201712E-02   1.000000000000000000e+00
122  0.1178458E-02   1.000000000000000000e+00
123  0.1205094E-02   1.000000000000000000e+00
124  0.1184195E-02   1.000000000000000000e+00
125  0.1190252E-02   1.000000000000000000e+00
126  0.1183161E-02   1.000000000000000000e+00
127  0.1204448E-02   1.000000000000000000e+00
128  0.1191083E-02   1.000000000000000000e+00
129  0.1203292E-02   1.000000000000000000e+00
130  0.1205059E-02   1.000000000000000000e+00
131  0.1212729E-02   1.000000000000000000e+00
132  0.1200098E-02   1.000000000000000000e+00
133  0.1182232E-02   1.000000000000000000e+00
134  0.1183859E-02   1.000000000000000000e+00
135  0.1182828E-02   1.000000000000000000e+00
136  0.1180444E-02   1.000000000000000000e+00
137  0.1175638E-02   1.000000000000000000e+00
138  0.1168349E-02   1.000000000000000000e+00
